student_id,name,email,phone,batch_id,section,department,scheme,primary_campus,time_slot,year,semester,enrollment_date,gender,date_of_birth,address,guardian_name,guardian_phone,status,roll_number,admission_category,hostel_required,transport_required,emergency_contact,blood_group,previous_education,entrance_exam_score,scholarship_eligible,assigned_teacher_id
STU220001,Oni Kannan,stu220001@university.edu,09402654235,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-08-02,Male,2004-10-06,43/321; Chahal Circle Patna 133890,Hemangini Lalla,+917816184959,Active,A01001,SC,Yes,Yes,+911034131647,B+,Higher Secondary Education,66,Yes,TCH1076
STU220002,Daksh Karnik,stu220002@university.edu,+915641395376,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-05-15,Male,2006-05-06,H.No. 53; Bora Road; Deoghar 276483,Alka Dewan,+918849696532,Active,A01002,General,Yes,Yes,7101226916,B-,Higher Secondary Education,92,Yes,TCH1072
STU220003,Yashica Cherian,stu220003@university.edu,4893252880,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-01-31,Other,2005-06-02,48/01 Loke Circle; Gorakhpur-627048,Janani Mohanty,+910391171822,Active,A01003,EWS,No,Yes,7824896383,O-,Higher Secondary Education,77,Yes,TCH1021
STU220004,Daniel Karnik,stu220004@university.edu,+910518347382,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-17,Female,2007-10-13,57/871 Kar Ganj; Sonipat 983930,Xavier Solanki,03116566701,Active,A01004,SC,Yes,Yes,+916513338726,AB-,Higher Secondary Education,66,Yes,TCH1049
STU220005,Nandini Bhargava,stu220005@university.edu,+916064746872,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-09-03,Female,2003-10-17,31 Chaudhari Chowk Panvel-132677,Darsh Murthy,+910978820812,Active,A01005,SC,No,Yes,+919136193990,O-,Higher Secondary Education,94,Yes,TCH1049
STU220006,Harish Borah,stu220006@university.edu,3842513542,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-12-03,Other,2005-09-29,99/854 Murthy Ganj Bilaspur 247510,Abhiram Mistry,1241182449,Active,A01006,SC,No,Yes,+915348740164,A-,Higher Secondary Education,62,Yes,TCH1038
STU220007,Qushi Datta,stu220007@university.edu,+914505331586,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-17,Male,2006-12-25,H.No. 24; Sathe Street Kishanganj 112805,Nicholas Goel,00256342160,Active,A01007,General,No,No,03375433036,O-,Higher Secondary Education,83,Yes,TCH1048
STU220008,Hemani Murthy,stu220008@university.edu,09816934060,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-01-02,Male,2007-04-29,H.No. 458 Yadav Marg; Bhopal 429401,Januja Sankar,+915951484656,Active,A01008,SC,Yes,Yes,4823662994,B-,Higher Secondary Education,70,No,TCH1049
STU220009,Girik Keer,stu220009@university.edu,4332003791,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-12-09,Other,2007-10-21,H.No. 43; Nagy Marg; Mango-387214,Leena Talwar,03201632870,Active,A01009,EWS,Yes,No,3172788957,A+,Higher Secondary Education,74,Yes,TCH1041
STU220010,Faris Devi,stu220010@university.edu,+913623166587,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-25,Female,2003-09-23,774 Malhotra Ganj; Mathura-714345,Lopa Bahri,6705466889,Active,A01010,General,Yes,No,+917346706562,B-,Higher Secondary Education,91,No,TCH1083
STU220011,Suhani Narain,stu220011@university.edu,06464170805,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-09-16,Male,2002-11-24,80/69; Bala; Haldia-720465,Azaan Kota,+910923271937,Active,A01011,SC,Yes,Yes,4529912419,AB+,Higher Secondary Education,87,No,TCH1047
STU220012,Yashawini Om,stu220012@university.edu,+916716572628,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-14,Male,2004-02-09,66/31 Kibe Barasat 905865,Udyati Sarin,9453147379,Active,A01012,EWS,No,Yes,6507527354,A+,Higher Secondary Education,67,Yes,TCH1081
STU220013,Chaitaly Kant,stu220013@university.edu,03495788568,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-10-25,Other,2006-09-14,48/08 Chada Ganj; Vellore 837770,Damini Krishnamurthy,+911351823374,Active,A01013,ST,Yes,No,9894134352,O+,Higher Secondary Education,89,No,TCH1071
STU220014,Qarin Behl,stu220014@university.edu,07116719022,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-04-18,Other,2008-03-07,82/400; Master Circle; Pallavaram 094777,Yuvraj Dani,6999386774,Active,A01014,General,No,No,6499091334,A-,Higher Secondary Education,78,No,TCH1021
STU220015,Vivaan Lalla,stu220015@university.edu,9361832421,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-07-17,Male,2007-03-30,281; Agate Street Hospet 403447,Reva Dash,04648877190,Active,A01015,SC,Yes,Yes,05940139904,AB+,Higher Secondary Education,92,Yes,TCH1020
STU220016,Forum Sabharwal,stu220016@university.edu,7468071545,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-08-07,Male,2007-02-14,87; Golla Road Pallavaram 756551,Turvi Sachdev,+913859770348,Active,A01016,EWS,Yes,No,+914771093248,O-,Higher Secondary Education,61,Yes,TCH1047
STU220017,Leela Halder,stu220017@university.edu,8214658404,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-18,Male,2007-07-06,H.No. 317 Dube Zila Jalna 677378,Manthan Sekhon,7558867533,Active,A01017,General,Yes,Yes,6360576627,A-,Higher Secondary Education,91,Yes,TCH1069
STU220018,Faris Narasimhan,stu220018@university.edu,8657809134,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-26,Male,2006-12-19,95/17; Vora Zila Kanpur 621745,Guneet Chaudhry,02400504556,Active,A01018,ST,Yes,No,+913869222196,O+,Higher Secondary Education,73,Yes,TCH1092
STU220019,Panini Krishna,stu220019@university.edu,04367136959,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-10-12,Female,2006-09-06,23/74 Kumer Chowk Kirari Suleman Nagar-821759,Meghana Maharaj,+919097439533,Active,A01019,SC,No,No,4210470952,A-,Higher Secondary Education,75,Yes,TCH1009
STU220020,Faqid Dhaliwal,stu220020@university.edu,+916851604817,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-07,Male,2006-12-24,H.No. 62 Deo Ganj Bettiah 247451,Lakshmi Prabhu,+913709859317,Active,A01020,EWS,Yes,Yes,4612004711,A+,Higher Secondary Education,64,Yes,TCH1030
STU220021,Sachi Saxena,stu220021@university.edu,+915158506431,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-08,Male,2007-06-07,75; Saini Circle Vijayanagaram-796405,Simon Bail,+915329318393,Active,A01021,SC,Yes,Yes,+915290422842,AB+,Higher Secondary Education,91,Yes,TCH1070
STU220022,Saumya Pathak,stu220022@university.edu,9178390847,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-02-16,Other,2002-09-03,053; Naik Akola 026811,Neelima Sandhu,1771159212,Active,A01022,EWS,No,Yes,09985698478,O-,Higher Secondary Education,86,Yes,TCH1013
STU220023,Michael Som,stu220023@university.edu,+911116152809,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-11,Other,2005-11-09,18/367; Sachdev Ganj; Malda-615654,Nirja Pandya,6049451983,Active,A01023,ST,No,No,+917315851493,O+,Higher Secondary Education,89,Yes,TCH1087
STU220024,Tanveer Puri,stu220024@university.edu,07525459910,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-08-21,Male,2007-01-05,40/24; Nori Road; Chennai-296120,Finn Magar,06797643815,Active,A01024,ST,No,Yes,01497840369,B-,Higher Secondary Education,72,Yes,TCH1069
STU220025,Xiti Pandya,stu220025@university.edu,+916060715969,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-21,Male,2006-04-30,432; Mann Road Jamshedpur 762268,Ishwar Ravel,+915297516136,Active,A01025,ST,Yes,No,6816453521,O-,Higher Secondary Education,75,Yes,TCH1057
STU220026,Saumya Naidu,stu220026@university.edu,5271774490,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-11-01,Male,2002-12-06,H.No. 52; Chauhan Ganj Bardhaman 292127,Siya Barad,+915411998679,Active,A01026,EWS,Yes,Yes,0793597820,B-,Higher Secondary Education,70,No,TCH1063
STU220027,Lila Rege,stu220027@university.edu,09051518644,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-17,Male,2006-06-05,H.No. 18; Baral Street; Bahraich-889255,Gauri Bumb,2546291486,Active,A01027,ST,Yes,Yes,5281685054,O+,Higher Secondary Education,60,No,TCH1034
STU220028,Krisha Dube,stu220028@university.edu,+912927065379,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-10-08,Female,2006-12-23,H.No. 73; Devan Ganj Solapur-188805,Vivaan Walla,+914735977468,Active,A01028,ST,No,Yes,6239240758,B-,Higher Secondary Education,78,Yes,TCH1008
STU220029,Yadavi Prakash,stu220029@university.edu,+916153051522,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-07-10,Other,2007-12-28,H.No. 12; Sengupta Road Junagadh 375060,Liam Singh,09010432898,Active,A01029,SC,Yes,Yes,01434103697,O-,Higher Secondary Education,92,Yes,TCH1008
STU220030,Rachit Chada,stu220030@university.edu,5188888067,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-07-11,Male,2004-10-22,98; Varma Nagar Asansol 609539,Zehaan Babu,01531952058,Active,A01030,General,Yes,Yes,02772217043,O+,Higher Secondary Education,67,Yes,TCH1075
STU220031,Rajeshri Ratta,stu220031@university.edu,7652775841,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-03-19,Other,2002-12-17,H.No. 548; Solanki Marg Vadodara 450541,Chaaya Nagi,+911544796275,Active,A01031,General,No,No,00596401658,AB+,Higher Secondary Education,73,No,TCH1031
STU220032,Kamya Sawhney,stu220032@university.edu,+919285654310,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-22,Female,2005-06-24,970; Bhavsar Street Ambarnath-690927,Jacob Lala,07394731217,Active,A01032,OBC,No,No,+917155188442,AB-,Higher Secondary Education,64,Yes,TCH1059
