teacher_id,name,email,phone,department,designation,subject_expertise,primary_subjects,available_time_slots,preferred_campus,experience_years,qualification,specialization,max_hours_per_week,can_teach_lab,preferred_days,office_location,status,joining_date,assigned_batches,employee_id,salary_grade,research_interests,publications_count,training_completed
TCH1001,Aryan Maharaj,tch1001@university.edu,+913218196001,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","08:00-14:30, 10:00-16:30",Campus-3,9,Ph.D,Transform and Numerical Methods,23,False,"Saturday, Friday, Monday, Wednesday, Tuesday","Campus-3, Block A",Active,2017-06-14,"A02, A03, A04",EMP1001,Grade-1,"Transform and Numerical Methods, Applied Mathematics",7,"Faculty Development Program, Digital Pedagogy"
TCH1002,Rushil Saini,tch1002@university.edu,+917940265423,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","11:20-18:00, 08:00-14:30",Campus-3,24,B.Tech + M.Tech,Transform and Numerical Methods,21,False,"Monday, Tuesday, Thursday, Friday, Wednesday, Saturday","Campus-3, Block B",Active,2024-02-06,"A03, A04, A05",EMP1002,Grade-6,"Transform and Numerical Methods, Applied Mathematics",12,"Faculty Development Program, Teaching Methodology"
TCH1003,Harsh Chanda,tch1003@university.edu,01559407816,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-3,25,B.Tech + M.Tech,Applied Mathematics,18,False,"Monday, Friday, Wednesday, Thursday, Tuesday, Saturday","Campus-3, Block A",Active,2016-03-12,"A04, A05, A06",EMP1003,Grade-1,"Applied Mathematics, Transform and Numerical Methods",9,"Faculty Development Program, Teaching Methodology"
TCH1004,Janaki Handa,tch1004@university.edu,1034131647,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","08:00-14:30, 10:00-16:30",Campus-3,10,B.Tech + M.Tech,Applied Mathematics,24,False,"Tuesday, Wednesday, Friday, Monday, Saturday, Thursday","Campus-3, Block E",Active,2021-03-16,"A05, A06, A07",EMP1004,Grade-3,"Applied Mathematics, Transform and Numerical Methods",5,"Faculty Development Program, Research Methodology"
TCH1005,Nicholas Prabhakar,tch1005@university.edu,03419283276,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-3,3,Ph.D,Transform and Numerical Methods,24,False,"Thursday, Wednesday, Monday, Saturday, Tuesday, Friday","Campus-3, Block D",Active,2017-11-30,"A06, A07, A08",EMP1005,Grade-7,"Applied Mathematics, Mathematics",4,"Faculty Development Program, Research Methodology"
TCH1006,Ekta Bhalla,tch1006@university.edu,+910564139537,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","08:00-14:30, 10:00-16:30",Campus-3,25,B.Tech + M.Tech,Applied Mathematics,21,False,"Tuesday, Saturday, Thursday, Monday, Wednesday, Friday","Campus-3, Block B",Active,2019-01-17,"A07, A08, A09",EMP1006,Grade-3,"Applied Mathematics, Mathematics",2,"Faculty Development Program, Research Methodology"
TCH1007,Luke Lanka,tch1007@university.edu,+913884969653,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,19,M.Tech,Applied Mathematics,23,False,"Saturday, Friday, Wednesday, Thursday, Tuesday","Campus-3, Block A",Active,2024-06-17,"A08, A09, A10",EMP1007,Grade-5,"Mathematics, Transform and Numerical Methods",14,"Faculty Development Program, Teaching Methodology"
TCH1008,Yashodhara Tak,tch1008@university.edu,+910122691669,Mathematics,Assistant Professor,"Transform and Numerical Methods, Mathematics, Applied Mathematics","Transform and Numerical Methods, Mathematics","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-3,22,M.Sc,Applied Mathematics,22,False,"Tuesday, Wednesday, Saturday, Friday, Monday","Campus-3, Block E",Active,2024-06-13,"A09, A10, A11",EMP1008,Grade-6,"Mathematics, Transform and Numerical Methods",3,"Faculty Development Program, Research Methodology"
TCH1009,Advay Contractor,tch1009@university.edu,8451462704,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,20,M.Tech,Chemistry,23,True,"Monday, Friday, Tuesday, Saturday, Thursday, Wednesday","Campus-3, Block C",Active,2024-03-25,"A10, A11, A12",EMP1009,Grade-7,"Chemistry, Organic Chemistry",9,"Faculty Development Program, Research Methodology"
TCH1010,Yashica Cherian,tch1010@university.edu,4893252880,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-3,9,Ph.D,Chemistry,20,True,"Friday, Saturday, Tuesday, Wednesday, Monday","Campus-3, Block A",Active,2020-11-15,"A11, A12, A13",EMP1010,Grade-2,"Organic Chemistry, Chemistry",7,"Faculty Development Program, Teaching Methodology"
TCH1011,Anirudh Choudhury,tch1011@university.edu,04303911718,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","10:00-16:30, 08:00-14:30",Campus-3,18,Ph.D,Physical Chemistry,23,True,"Tuesday, Friday, Saturday, Wednesday, Thursday, Monday","Campus-3, Block D",Active,2022-05-18,"A12, A13, A14",EMP1011,Grade-7,"Chemistry, Organic Chemistry",3,"Faculty Development Program, Digital Pedagogy"
TCH1012,Vaishnavi Gandhi,tch1012@university.edu,08963834657,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-3,16,M.Tech,Organic Chemistry,23,True,"Monday, Thursday, Wednesday, Saturday, Friday","Campus-3, Block B",Active,2023-08-01,"A13, A14, A15",EMP1012,Grade-4,"Organic Chemistry, Physical Chemistry",4,"Faculty Development Program, Research Methodology"
TCH1013,Jai Kota,tch1013@university.edu,+911509839301,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","10:00-16:30, 11:20-18:00",Campus-3,9,M.Tech,Physical Chemistry,24,True,"Monday, Friday, Saturday, Thursday, Wednesday","Campus-3, Block B",Active,2021-11-08,"A14, A15, A16",EMP1013,Grade-7,"Physical Chemistry, Organic Chemistry",6,"Faculty Development Program, Research Methodology"
