slot_index,batch_id,section,day,time_start,time_end,subject_code,subject_name,teacher_id,teacher_name,room_id,room_name,campus,activity_type,department,scheme
13,A01,A01,Tuesday,13:00,14:00,B.ETC_A,Basic Electronics,TCH1040,Meera Bala,R1056,Electronics Lab,Campus-15B,Lecture,Computer Science Engineering,A
14,A01,A01,Tuesday,14:00,15:00,T&NM_A,Transform and Numerical Methods,TCH1076,Timothy Bhatnagar,R1046,Theory Classroom B-102,Campus-15B,Lecture,Computer Science Engineering,A
15,A01,A01,Tuesday,15:00,16:00,CHEM_A,Chemistry,TCH1046,Gabriel Mallick,R1055,Chemistry Lab,Campus-15B,Lecture,Computer Science Engineering,A
16,A01,A01,Tuesday,16:00,17:00,SY_A,Sports and Yoga,TCH1088,Amara Balakrishnan,R1054,Physics Lab,Campus-15B,Lecture,Computer Science Engineering,A
17,A01,A01,Tuesday,17:00,18:00,CHEM_LAB_A,Chemistry Lab,TCH1035,Chandresh Krish,R1012,Theory Classroom C-18,Campus-15B,Lecture,Computer Science Engineering,A
18,A01,A01,Wednesday,08:00,09:00,SY_A,Sports and Yoga,TCH1052,Ridhi Oak,R1027,Theory Classroom CLA2,Campus-15B,Lecture,Computer Science Engineering,A
19,A01,A01,Wednesday,09:00,10:00,CHEM_LAB_A,Chemistry Lab,TCH1061,Amara Deep,R1051,Theory Classroom 203,Campus-15B,Lecture,Computer Science Engineering,A
20,A01,A01,Wednesday,10:00,11:00,ENG_A,English,TCH1018,Alka Sha,R1030,Theory Classroom CLA5,Campus-15B,Lecture,Computer Science Engineering,A
21,A01,A01,Wednesday,11:20,12:20,B.ETC_A,Basic Electronics,TCH1025,Neel Sathe,R1048,Theory Classroom B-104,Campus-15B,Lecture,Computer Science Engineering,A
22,A01,A01,Wednesday,13:00,14:00,CHEM_A,Chemistry,TCH1082,Siya Thakur,R1049,Theory Classroom 201,Campus-15B,Lecture,Computer Science Engineering,A
23,A01,A01,Wednesday,14:00,15:00,SY_A,Sports and Yoga,TCH1071,Rushil Rajagopalan,R1036,Theory Classroom CLA11,Campus-15B,Lecture,Computer Science Engineering,A
24,A01,A01,Wednesday,15:00,16:00,ENG_A,English,TCH1036,Nathan Soman,R1031,Theory Classroom CLA6,Campus-15B,Lecture,Computer Science Engineering,A
25,A01,A01,Wednesday,16:00,17:00,B.ETC_A,Basic Electronics,TCH1086,Kalpit Bhasin,R1062,Electrical Lab,Campus-15B,Lecture,Computer Science Engineering,A
26,A01,A01,Wednesday,17:00,18:00,ENGG_LAB_A,Engineering Lab,TCH1001,Aryan Maharaj,R1015,Theory Classroom C-21,Campus-15B,Lecture,Computer Science Engineering,A
27,A01,A01,Thursday,08:00,09:00,ENG_A,English,TCH1047,Aarna Oak,R1057,Computer Lab-1,Campus-15B,Lecture,Computer Science Engineering,A
